company;id_employee_pk;flg_active;employee_name;states;id_sufix_gender;id_marital_status_fk;marital_status;marital_status;id_race_fk;ethnicity;ethnicity;birthday;id_background_education_fk;background_education;id_department_fk;department;id_role_fk;role;id_level_fk;level;date_of_hire;id_recruitment_source_fk;recruitment_source;date_of_fire;id_reason_dimissal_fk;reason_dimissal;satisfaction_grade;actual_salary
5-ACME Corporation;1;1;Enzo de Orléans e Bragança;5-Portugal 8-AveirO;M;8; Separated ;8  Separated ;5; white;5  white;02/01/1978;10;Doctorate;5; Presidency;5;CEO;#N/A;#N/A;01/01/1999;14;LinkedIn;#N/A;#N/A;#N/A;5;€ 29.000,00
5-ACME Corporation;2;1;Bernnardo Esposito Andrade;5-Portugal 9-braga;M;8; Separated ;8  Separated ;5; white;5  white;14/05/1979;10;Doctorate;5; Presidency;6;Vice President;#N/A;#N/A;01/01/1999;15;Website;#N/A;#N/A;#N/A;5;€ 25.000,00
5-ACME Corporation;3;1;Alessandra Cândido dos Santos;5-Portugal 20-Portalegre;F;6;MarrieD;6 MarrieD;5; white;5  white;14/07/2000;7;Undergraduate degree;5; Presidency;8;Bilingual Secretary;#N/A;#N/A;01/01/1999;13;Google;#N/A;#N/A;#N/A;4;€ 8.500,00
5-ACME Corporation;4;1;Augusto Ferreira Asvilla;5-Portugal 16-Azores;M;6;MarrieD;6 MarrieD;5; white;5  white;11/12/1983;8;Graduate school;6;Administration;7;Director;#N/A;#N/A;01/01/1999;5;Indeed;#N/A;#N/A;#N/A;5;€ 16.000,00
5-ACME Corporation;5;1;Mariah Nascimento Negrão;5-Portugal 19-Beja;F;5;single;5 single;5; white;5  white;12/06/1996;10;Doctorate;7;Finance;7;Director;#N/A;#N/A;01/01/1999;9;Empregos Online;#N/A;#N/A;#N/A;5;€ 17.000,00
5-ACME Corporation;6;1;Enzo Miguel Batista Alvaregna;5-Portugal 5- Lisboa;M;5;single;5 single;5; white;5  white;02/12/1979;9;Master’s degree;8;Human Resource;7;Director;#N/A;#N/A;01/01/1999;10;Jobs in Lisbon;#N/A;#N/A;#N/A;5;€ 16.580,00
5-ACME Corporation;7;1;João Gabriel Tavarez Santoro;5-Portugal 7- Setúbal ;M;6;MarrieD;6 MarrieD;5; white;5  white;09/01/1981;10;Doctorate;9; Commercial;7;Director;#N/A;#N/A;01/01/1999;13;Google;#N/A;#N/A;#N/A;5;€ 17.080,00
5-ACME Corporation;8;1;Joanna Martins Bermudes;5-Portugal 14-Madeira;F;6;MarrieD;6 MarrieD;5; white;5  white;14/09/1994;9;Master’s degree;10;Operations;7;Director;#N/A;#N/A;01/01/1999;9;Empregos Online;#N/A;#N/A;#N/A;5;€ 16.500,00
5-ACME Corporation;9;1;Otávio Alvaregna Santana;5-Portugal 14-Madeira;M;6;MarrieD;6 MarrieD;5; white;5  white;17/10/1996;8;Graduate school;11;Communication & Marketing;7;Director;#N/A;#N/A;01/01/1999;9;Empregos Online;#N/A;#N/A;#N/A;5;€ 16.080,00
5-ACME Corporation;10;1;Levi Pellegrini Moraes;5-Portugal 22-Vila Real;M;8; Separated ;8  Separated ;5; white;5  white;16/10/1986;8;Graduate school;12;Controlling;7;Director;#N/A;#N/A;01/01/1999;15;Website;#N/A;#N/A;#N/A;4;€ 16.000,00
5-ACME Corporation;11;1;Eliza Ildelfonso Monteiro;5-Portugal 21-Guarda;F;7;Widowed ;7 Widowed ;5; white;5  white;12/03/1984;10;Doctorate;13;Audit;7;Director;#N/A;#N/A;01/01/1999;8;Net Empregos;#N/A;#N/A;#N/A;4;€ 17.000,00
5-ACME Corporation;12;1;Joana Nunes Leone;5-Portugal 6-PORTO;F;9;DIVORCED;9 DIVORCED;5; white;5  white;03/06/1996;9;Master’s degree;14;Information Technology;7;Director;#N/A;#N/A;01/01/1999;12; recommendation of employee;#N/A;#N/A;#N/A;4;€ 16.620,00
5-ACME Corporation;13;1;João Gabriel Testa Brito;5-Portugal 9-braga;M;6;MarrieD;6 MarrieD;5; white;5  white;20/10/1996;10;Doctorate;15;Juridical;7;Director;#N/A;#N/A;01/01/1999;5;Indeed;#N/A;#N/A;#N/A;5;€ 17.100,00
5-ACME Corporation;14;1;Vinícius Paulista Barbosa;5-Portugal 12-Leiria;M;9;DIVORCED;9 DIVORCED;5; white;5  white;25/10/1982;9;Master’s degree;16;  Sales;7;Director;#N/A;#N/A;01/01/1999;7;SAPO Emprego;#N/A;#N/A;#N/A;5;€ 16.610,00
5-ACME Corporation;15;1;Luccas Machado Siqueira;5-Portugal 7- Setúbal ;M;8; Separated ;8  Separated ;8;ASIAN;8 ASIAN;14/08/1985;9;Master’s degree;6;Administration;14;Manager;#N/A;#N/A;01/01/1999;5;Indeed;#N/A;#N/A;#N/A;5;€ 13.500,00
5-ACME Corporation;16;1;Davi Lucca Brito Nascimento;5-Portugal 20-Portalegre;M;9;DIVORCED;9 DIVORCED;5; white;5  white;20/02/1979;9;Master’s degree;7;Finance;14;Manager;#N/A;#N/A;01/01/1999;15;Website;#N/A;#N/A;#N/A;4;€ 13.500,00
5-ACME Corporation;17;1;Martim Abranches Brito;5-Portugal 19-Beja;M;6;MarrieD;6 MarrieD;6;Black or African American;6 Black or African American;01/11/1989;8;Graduate school;8;Human Resource;14;Manager;#N/A;#N/A;01/01/1999;11;Next Station;#N/A;#N/A;#N/A;4;€ 13.080,00
