comp_name;acme_code;active;emp_name;country_states;gender_code;gender;marital_status;ethnicity;dt_birthday;dt_hire;dt_resignation;satisfaction_grade;actual_salary
5|ACME Corporation;1;1;Enzo de Orléans e Bragança;5|Portugal|7| Setúbal ;M;Male;6|MarrieD;5| white;03/01/1978;01/01/1999;#N/A;5;€ 29.000,00
5|ACME Corporation;2;1;Bernnardo Rangel Brasil;5|Portugal|14|Madeira;M;Male;8| Separated ;5| white;09/07/1953;01/01/1999;#N/A;4;€ 25.000,00
5|ACME Corporation;3;1;Alessandra Morato Arruda;5|Portugal|20|Portalegre;F;Female;9|DIVORCED;5| white;13/03/1991;01/01/1999;#N/A;5;€ 8.500,00
5|ACME Corporation;4;1;Noah Madureira Gomes;5|Portugal|7| Setúbal ;M;Male;6|MarrieD;5| white;30/05/1989;01/01/1999;#N/A;5;€ 17.000,00
5|ACME Corporation;5;1;Lara Bactista Pasquim;5|Portugal|15| ÉVORA;F;Female;8| Separated ;5| white;01/12/1994;01/01/1999;#N/A;4;€ 16.500,00
5|ACME Corporation;6;1;Jonathan Bandeira Pinheiro;5|Portugal|18|Castelo Branco;M;Male;9|DIVORCED;5| white;17/03/1986;01/01/1999;#N/A;5;€ 16.080,00
5|ACME Corporation;7;1;Maria Heloísa Paulista Borges;5|Portugal|24|Brangança;F;Female;6|MarrieD;5| white;07/03/1995;01/01/1999;#N/A;5;€ 16.500,00
5|ACME Corporation;8;1;Ammanda Martinelli Faro;5|Portugal|7| Setúbal ;F;Female;7|Widowed ;5| white;09/05/1998;01/01/1999;#N/A;5;€ 17.000,00
5|ACME Corporation;9;1;Raquel Morais Figo;5|Portugal|8|AveirO;F;Female;5|single;5| white;28/12/1978;01/01/1999;#N/A;4;€ 17.080,00
5|ACME Corporation;10;1;José Emanuel Serra Furtado;5|Portugal|10|Faro;M;Male;7|Widowed ;5| white;18/06/1992;01/01/1999;#N/A;5;€ 16.580,00
5|ACME Corporation;11;1;Madalena Ricci Furtado;5|Portugal|16|Azores;F;Female;5|single;5| white;10/03/1997;01/01/1999;#N/A;5;€ 16.500,00
5|ACME Corporation;12;1;Gabriela Pinheiro Medeiros;5|Portugal|17|Viseu;F;Female;7|Widowed ;5| white;18/06/1979;01/01/1999;#N/A;5;€ 17.080,00
5|ACME Corporation;13;1;Tiago Mendes Café;5|Portugal|11|Santarém;M;Male;5|single;5| white;26/06/1997;01/01/1999;#N/A;5;€ 16.500,00
5|ACME Corporation;14;1;Pedro Miguel Giordano Esteves;5|Portugal|14|Madeira;M;Male;6|MarrieD;5| white;14/08/1992;01/01/1999;#N/A;4;€ 17.000,00
5|ACME Corporation;15;1;Enzzo Borges Mazza;5|Portugal|22|Vila Real;M;Male;8| Separated ;5| white;15/08/1989;01/01/1999;#N/A;4;€ 12.620,00
5|ACME Corporation;16;1;Kelly Auth Nascimento;5|Portugal|13|Coimbra;F;Female;9|DIVORCED;5| white;28/09/1997;01/01/1999;#N/A;4;€ 12.600,00
5|ACME Corporation;17;1;Samuel Mello Negreiros;5|Portugal|21|Guarda;M;Male;7|Widowed ;5| white;28/01/1979;01/01/1999;#N/A;5;€ 13.110,00
5|ACME Corporation;18;1;Olívia Barbieri Siqueira;5|Portugal|17|Viseu;F;Female;6|MarrieD;8|ASIAN;07/12/1997;01/01/1999;#N/A;4;€ 13.000,00
5|ACME Corporation;19;1;Lorena Costatini Seixas;5|Portugal|20|Portalegre;F;Female;8| Separated ;5| white;11/08/1987;01/01/1999;#N/A;4;€ 13.500,00
5|ACME Corporation;20;1;Danylo Caminha Longo;5|Portugal|10|Faro;M;Male;7|Widowed ;6|Black or African American;27/10/1993;01/01/1999;#N/A;4;€ 13.080,00
5|ACME Corporation;21;1;Maria Fernanda Salvador Melo;5|Portugal|15| ÉVORA;F;Female;5|single;7|  Hispanic or LATINO;12/08/1996;01/01/1999;#N/A;4;€ 12.580,00
5|ACME Corporation;22;1;José Heleno Sousa Faria;5|Portugal|5| Lisboa;M;Male;5|single;5| white;17/09/1982;01/01/1999;#N/A;4;€ 12.500,00
5|ACME Corporation;23;1;Júlio Machado Pinheiro;5|Portugal|16|Azores;M;Male;6|MarrieD;5| white;31/05/1987;01/01/1999;#N/A;4;€ 13.080,00
5|ACME Corporation;24;1;Rodrigo Borba Souza;5|Portugal|5| Lisboa;M;Male;5|single;5| white;28/07/1984;01/01/1999;#N/A;4;€ 12.500,00
5|ACME Corporation;25;1;Bryan Evangelista Frois;5|Portugal|14|Madeira;M;Male;7|Widowed ;5| white;07/05/1998;01/01/1999;#N/A;4;€ 12.500,00
5|ACME Corporation;26;1;Brenda Junqueira Negrão;5|Portugal|19|Beja;F;Female;6|MarrieD;5| white;30/03/1984;20/11/2010;#N/A;5;€ 9.120,00
5|ACME Corporation;27;1;Théo Ricci Santoro;5|Portugal|15| ÉVORA;M;Male;7|Widowed ;6|Black or African American;11/05/1973;01/07/2000;#N/A;5;€ 8.600,00
5|ACME Corporation;28;1;Danniel Pimentel Pellegrini;5|Portugal|21|Guarda;M;Male;6|MarrieD;5| white;14/11/1953;09/05/2009;#N/A;4;€ 8.610,00
5|ACME Corporation;29;1;Luan Brasão Frasão;5|Portugal|16|Azores;M;Male;7|Widowed ;5| white;01/10/1986;06/11/2015;#N/A;5;€ 9.000,00
5|ACME Corporation;30;1;Catarina Sousa Cardoso;5|Portugal|12|Leiria;F;Female;5|single;5| white;05/07/1983;23/10/2005;#N/A;4;€ 9.000,00
5|ACME Corporation;31;1;Theo Costatini Figo;5|Portugal|11|Santarém;M;Male;6|MarrieD;5| white;30/07/1983;26/12/2013;#N/A;5;€ 9.080,00
5|ACME Corporation;32;1;Lia Bispo Madureira;5|Portugal|16|Azores;F;Female;7|Widowed ;7|  Hispanic or LATINO;30/04/1971;17/12/2018;#N/A;4;€ 8.580,00
5|ACME Corporation;33;1;Eloá Aragão Cardozo;5|Portugal|22|Vila Real;F;Female;7|Widowed ;5| white;21/08/1977;18/06/2020;#N/A;5;€ 9.000,00
5|ACME Corporation;34;1;Lavínia Bicalho Camacho;5|Portugal|19|Beja;F;Female;9|DIVORCED;6|Black or African American;13/07/1982;21/02/2003;#N/A;4;€ 8.580,00
5|ACME Corporation;35;1;João Victor Barreto Greco;5|Portugal|20|Portalegre;M;Male;6|MarrieD;5| white;09/02/1948;21/12/2017;#N/A;5;€ 8.500,00
5|ACME Corporation;36;1;Vagner Saragoça Fernandes;5|Portugal|24|Brangança;M;Male;7|Widowed ;5| white;27/08/1980;12/09/2006;#N/A;4;€ 8.500,00
5|ACME Corporation;37;1;Artur Moura Madureira;5|Portugal|15| ÉVORA;M;Male;8| Separated ;8|ASIAN;16/09/1963;08/08/2018;#N/A;5;€ 9.120,00
5|ACME Corporation;38;1;Heloísa Helena Pasquim Campos;5|Portugal|11|Santarém;F;Female;6|MarrieD;5| white;30/04/1957;24/08/2004;#N/A;4;€ 8.600,00
5|ACME Corporation;39;1;Clarisse Caruso de Oliveira;5|Portugal|11|Santarém;F;Female;5|single;5| white;07/07/1976;26/07/2000;#N/A;4;€ 9.110,00
5|ACME Corporation;40;1;Lucas Gabriel Mello Borges;5|Portugal|17|Viseu;M;Male;5|single;5| white;17/08/1961;29/01/2008;#N/A;4;€ 9.000,00
5|ACME Corporation;41;1;Muricy Miranda Duarte;5|Portugal|16|Azores;M;Male;8| Separated ;6|Black or African American;24/10/1965;14/07/2017;#N/A;5;€ 9.000,00
5|ACME Corporation;42;1;Gloria Bragança Badu;5|Portugal|5| Lisboa;F;Female;5|single;5| white;12/01/1968;30/10/2009;#N/A;4;€ 9.080,00
